,Komen,Klasifikasi,kategori_id
0,"['totalitas', 'banget', 'bunda']",no cyberharassment,0
1,"['cantik', 'banget', 'bunda']",no cyberharassment,0
2,"['keren', 'banget', 'bunda']",no cyberharassment,0
3,"['lama', 'bunda', 'jalan', 'tugas', 'orang', 'istri', 'ibu', 'baik', 'mau', 'pakai', 'hijab', 'tidak', 'aku', 'bakal', 'tetap', 'dukung', 'bunda']",no cyberharassment,0
4,"['kalau', 'aku', 'kamu', 'orang', 'nya', 'seru', 'bang', 'keluarin', 'kodam', 'hibur', 'banget', 'tetap', 'semangat']",no cyberharassment,0
5,"['semangat', 'terus', 'kakak']",no cyberharassment,0
6,"['seru', 'joget', 'terus', 'keren', 'lentur', 'banget', 'badan', 'semangat', 'sukses', 'terus', 'kakak']",no cyberharassment,0
7,"['sungguh', 'gemas', 'senang', 'lihat', 'macam']",no cyberharassment,0
8,"['makin', 'kesini', 'suasana', 'nya', 'positif', 'moga', 'selalu', 'sukses', 'luna']",no cyberharassment,0
9,"['tidak', 'tidak', 'hujat', 'malah', 'bangga', 'kamu', 'sudah', 'jujur', 'mau', 'baik', 'diri', 'jadi', 'sayang', 'tahu']",no cyberharassment,0
10,"['tadi', 'aku', 'video', 'kakak', 'sama', 'kakak', 'william', 'kalau', 'benar', 'aku', 'salut', 'sama', 'kakak', 'ngomong', 'ngomong', 'semangat', 'selalu', 'kakak', 'luna', 'siapa', 'puruk', 'sekarang']",no cyberharassment,0
11,"['aku', 'salut', 'sama', 'kamu', 'sudah', 'mulai', 'jujur', 'lebih', 'seru', 'sekarang']",no cyberharassment,0
12,"['jujur', 'aku', 'salut', 'sama', 'kamu', 'kak', 'sudah', 'berani', 'speak', 'up', 'umum']",no cyberharassment,0
13,"['makin', 'jujur', 'makin', 'lihat', 'jati', 'diri', 'sendiri', 'asli', 'kok', 'aku', 'malah', 'senang', 'jadi', 'lihat', 'kamu', 'jadi', 'perempuan', 'jadi', 'senang']",no cyberharassment,0
14,"['awal', 'kakak', 'lucinta', 'muncul', 'tv', 'aku', 'sudah', 'suka', 'suka', 'gitu', 'orang', 'hibur', 'banget', 'seru', 'tambah', 'sekarang', 'jujur', 'masya', 'banget']",no cyberharassment,0
15,"['salut', 'sama', 'kamu', 'ayo', 'kuat', 'ayo', 'jadi', 'kayak', 'dulu', 'punya', 'segala', 'tas', 'mobil', 'mewah', 'apartemen', 'jadi', 'kuat', 'kamu', 'hebat']",no cyberharassment,0
16,"['mau', 'gimana', 'semua', 'ukur', 'jujur', 'kamu', 'peduli', 'sama', 'jujur', 'kamu', 'semangat']",no cyberharassment,0
17,"['kak', 'luna', 'baik', 'kok', 'lucu', 'jadi', 'hibur', 'lihat', 'nya', 'jangan', 'dengar', 'orang']",no cyberharassment,0
18,"['semangat', 'kakak', 'lucin', 'kakak', 'sangat', 'hibur', 'sekali', 'kakak', 'baik', 'banget', 'mending', 'kakak', 'main', 'kakak', 'adik', 'podcast', 'sana', 'senang']",no cyberharassment,0
19,"['suka', 'sama', 'kamu', 'sekarang', 'semangat', 'terus', 'jangan', 'dengar', 'buruk', 'dukung', 'kamu', 'banyak', 'terus', 'tambah']",no cyberharassment,0
20,"['jangan', 'ganggu', 'justru', 'dukung', 'biar', 'tobat', 'jalan', 'sekarang', 'jadi', 'lebih', 'baik', 'ketimbang', 'dulu']",no cyberharassment,0
21,"['aku', 'bangga', 'kamu', 'berani', 'buat', 'speak', 'up', 'bukan', 'gampang', 'semangat', 'kakak', 'fatah']",no cyberharassment,0
22,"['kamu', 'orang', 'seru', 'banget', 'sudah', 'sini', 'ngopi', 'rumah', 'aku']",no cyberharassment,0
23,"['paling', 'utama', 'dalam', 'hidup', 'dunia', 'bahagia']",no cyberharassment,0
24,"['jangan', 'rendah', 'orang', 'ingat', 'punya', 'lebih', 'kurang', 'masing', 'sempurna', 'mata', 'sang', 'cipta']",no cyberharassment,0
