Komen,Klasifikasi
totalitas banget bun,0
cantik bgt buna,0
keren banget bunaaaa ,0
selama buna masih menjalankan tugasnya sebagai seorang istri dan ibu yang baik mau pakai hijab atau nggak aku bakal tetep support buna,0
"kalo menurut ku lu orang nya asik bg, apalagi pas keluarin kodam menghibur bngt, tetap semangat",0
SEMANGAT TERUS KA ,0
asyiik...joget terus keren lentur banget badannya semangat sukses terus ya mba,0
Sunnguh deh gemees seneng deh liat LL mcm nii,0
makin kesini vibes nya positif..semoga selalu sukses luna,0
"ga ah... kami ga buly, kami malah BANGGA karna kamu uda jujur dan mau memperbaiki diri, JADI SAYANG TAU ",0
td aku nemu video kk sm ka boy William? kalo itu benar aku salut sm kk. anyway semangat selalu ka luna dan siapapun yg lg terpuruk Sekarang.,0
"Gw salut sama lu udah mulai jujur, lebih asik juga sekarang ",0
JUJUR GUA SALUT SAMA LU KAK UDHH BERANI SPEAK UP KE umum ,0
"makin jujur makin nunjukin jati diri sendiri yg asli, kok gw malah seneng yak , jadi pas liat lu jadi cewe jd sneng aja",0
"dari awal ka lucinta muncul di tv,aku mah udah suka,,demen aja gitu orangnya,menghibur banget,asyik juga,ditambah sekarang jujur,Masya Allah banget",0
salut sm kmu ayo yang kuat ayo jadi kek dulu LL yang punya segalanya tas Hermes mobil mewah apartemen dll jadi LL yang kuat. kamu hebat!!!,0
"mau gmn pun semua diukur dri kejujuran mu, respect sama kejujuran mu.. Semangat",0
kak Luna baik ko lucu jadi kehibur liat nya juga Jan denger org ,0
"semangat kk lucin kk itu sangat menghibur sekali, kk itu baik banget, mending kk main di kakak beradik podcast aja karena di sana menyenangkan",0
"saya suka sama kamu yang sekarang, semangat terus jangan dengarkan yang buruk2 yang support kamu masih banyak dan akan terus bertambah",0
Jgn dibully guys justru kita dukung dia biar bertobat ke jalannya toh skrng dia jdi lbih baik ktimbang dlu,0
"GUA BANGGA LU BERANI BUAT SPEAK UP, ITU BUKAN HAL YG GAMPANG LOHH. SEMANGAT MASS FATAH",0
lu orngnya asik bngt dah sokin ngopi dirumah gua,0
YANG PALING UTAMA DALAM KEHIDUPAN DUNIA ADALAH KEBAHAGIAAN,0
jgn merendahkn orng lain ingt kita punya kelebihan dan kekurangan masing2 kita sempurna dimata sang pencipta,0
Yng Lalu biarlah berlalu. Masa Lalu gak bsa di ubah.. Tpi Masa depan tidak ada yng Tau. jadikan Masa Lalu sbagai pelajran tuk masa depan yng lbih Baik,0
komen nya rata rata ngejelekin....gaboleh gitu semuaaa semangat kak gisell,0
"pengen nanya ya, org2 yg pd komen netizen pd kenapa sih, yg lalu biar aja berlalu, lg an itu aib dy kenapa mesti dibahas trus, kek paling suci aja pd.",0
"ketahuilah gaes Allah itu lebih mnyukai tangisn taubat ny pendosa dri pda lantunan tasbih orng yg sombng&munafik biar lah yg sudh""sja",0
sht slalu mbak Gisel..smua manusia g ad yg sempurna..bisa melakukan kslhan bntuk apapun.. semoga bljr dri kslhan dan mnjdi lbih baik,0
haiii gisel buat w sih g jdi mslah lo dlunya sprti apa yg pasti buat kdapan nya moga lebih baik lgi ya aamiin,0
baju nya bagus banget ...beli dimana ?semangat ya,0
aku mah gak terlalu peduli hidupnya org lain apalagi yg menyangkut privat tetap semangat ya kak,0
Kasian kawan dia dan masa depan anak nya... ayoklah dukung buat kedepannya lebih baik.... ,0
buat kak Gisel jgan denger apa hujatan netizen tetap semangat dan menjadi pribadi yg lebih baik lg,0
Saya tidak munafik...tidak ada manusia yg sempurna di atas bumi ini...stiap manusia punya salah dan khilaf tapi ada juga sisi baik nya ,0
"terlepas dari kasus dia, aku mengidolakan dia. dia ibu yg baik untuk anaknya",0
"pernah ketemu kak gisel di bandara KNO ,aslinya putih dan cantik banget",0
"jangan begtu, semua manusia punya keslahan,cobak kalian jdi dia pasti gk bakal sanggup",0
"stop menghujat gisel,semu orang juga pasti punya kesalahan dan masa lalu, manusia itu tempat nya salah lebih baik perbaiki diri masing masing",0
mba gisel mau dong baju nya aku suka...kalo mba gisel mau ngasih minta aja alamat aku ya ,0
Please lah bro. Semua orang punya kesalahan. Ksian dia jangan terlalu di ungkit ungkit lagi. Yang lalu biarlah berlalu,0
"Yang lalu biarlah berlalu dan lupakan jangan di ungkit2 , Siapa tau dia berubah menjadi yang terbaik dari yang terbaik",0
"komennya apaansi bisa hargai perasaan dia gasi? itu jg kasus udh lama gausah diungkit2 lagi kek bocah ae lu pada,klo lu digituin emg mau? kaga kan?",0
"yang suka mengungkit ungkit,semoga kejadian kayaq gisel kemarin gk nurun ke keluarga kalian sendiri",0
kuat bet mentalnya.,0
bajunya bagus bgt...pengen yg kayak gini tapi buat dlm rumah aja sih...yg warna hitam lebih keren kayaknya,0
"Terus berkarya gisel, setiap orang punya masa lalu",0
"saling menghargai bukan menghujat. yg sdh berlalu biarlah berlalu,jngan d ungkit2 lg",0
"kasihan jgn di hujat, mending perbaiki kita masing2",0
